0,8,0.7,0,0.6150696150696151,0.5102825552825553,0.5888635139112839
4,4,0.7,0,0.61998361998362,0.28798198198198194,0.6246207978078331
8,0,0.7,0,0.5077805077805078,0.42771498771498817,0.5004165676458271
2,6,0.7,0,0.6126126126126126,0.38304750204750204,0.6179113382647176
6,2,0.7,0,0.6232596232596233,0.21029647829647802,0.6242498869855205
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,ACC,AUC,ECE
,,,Accurate,0.57,0.74,0.39
,,,Ambiguous,0.55,0.73,0.146,2,0.7,0,nan,nan,nan
4,4,0.7,0,0.5888615888615889,0.39041769041769026,0.7512725130599415
8,0,0.7,0,0.47583947583947583,0.45889434889435304,0.7030732127497823
2,6,0.7,0,0.5888615888615889,0.42282555282555295,0.7466133143198549
0,8,0.7,0,nan,nan,nan
8,0,0.7,0,0.5995085995085995,0.30516789516789655,0.7523691844201231
6,2,0.7,0,0.592956592956593,0.3039557739557741,0.7520131982828466
4,4,0.7,0,0.5634725634725635,0.3225880425880425,0.7444700718115929
